,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
469,Central Plaza,D3,Tiong Bahru Rd,13725,1830,7.5,https://www.99.co/singapore/commercial/rent/property/central-plaza-office-LyF42BtPFL2npBKJqRc42m#enquiry_source--Search,103.83259,1.28578
475,51 Cuppage Road,D9,Cuppage Rd,6714,1033,6.5,https://www.99.co/singapore/commercial/rent/property/51-cuppage-road-office-9m8kppxNvWAJUVR2tigMHq#enquiry_source--Search,103.84022,1.30274
478,Hana,D10,Tomlinson Rd,40000,3531,11.33,https://www.99.co/singapore/commercial/rent/property/hana-office-z244YZq4gw4CLRyJoM7UnF#enquiry_source--Search,103.82594,1.3035
484,Hong Leong Building,D1,Raffles Quay,56700,6300,9.0,https://www.99.co/singapore/commercial/rent/property/hong-leong-building-office-cMymecuPX77iyrxEHGvA8y#enquiry_source--Search,103.8519,1.28118
486,Lian Huat Building,D2,Tras St,2160,400,5.4,https://www.99.co/singapore/commercial/rent/property/lian-huat-building-office-PAWR2o8FaENSMfcqBoVYaJ#enquiry_source--Search,103.96126,1.34068
498,NTUC Income Tampines Junction,D18,Tampines Ave 5,11848,2174,5.45,https://www.99.co/singapore/commercial/rent/property/ntuc-income-tampines-junction-office-tn58ScrMh3DjZsJ8gET98b#enquiry_source--Search,103.94174,1.35368
499,Gateway East,D7,Beach Rd,4725,630,7.5,https://www.99.co/singapore/commercial/rent/property/gateway-east-office-STgYr8wssnQ4FRCYkh8MkP#enquiry_source--Search,103.86454,1.30348
500,Stamford Road,D6,Stamford Rd,4165,670,6.22,https://www.99.co/singapore/commercial/rent/property/stamford-road-office-gmGxGUhcDBEBdRVDDKXbhP#enquiry_source--Search,103.85745,1.30346
501,Wcega Tower,D23,Bt Batok Cres,1200,215,5.58,https://www.99.co/singapore/commercial/rent/property/wcega-tower-office-n9JFj4hwz5K8oSFBYQ3tDe#enquiry_source--Search,103.85091,1.28311
504,Eon Shenton,D2,Shenton Way,23888,3250,7.35,https://www.99.co/singapore/commercial/rent/property/eon-shenton-office-h62Vfj9qiBB3HGgPW9wrCK#enquiry_source--Search,103.85055,1.27929
505,Braddell Road,D20,Braddell Rd,12750,5532,2.3,https://www.99.co/singapore/commercial/rent/property/braddell-road-office-aLfMjGKpG9cUynvHowTjJ5#enquiry_source--Search,,
506,Middle Road,D7,Middle Rd,2280,474,4.81,https://www.99.co/singapore/commercial/rent/property/middle-road-office-M8gLqSnZYkUw7Y6i8zFEJm#enquiry_source--Search,103.85559,1.29701
511,Tt International Tradepark,D22,Toh Guan Rd,17873,7771,2.3,https://www.99.co/singapore/commercial/rent/property/tt-international-tradepark-office-3gtoVvqCwsPm4zNNQkJocg#enquiry_source--Search,103.74828,1.33583
515,Jalan Besar Plaza,D8,Kitchener Rd,20000,4500,4.44,https://www.99.co/singapore/commercial/rent/property/jalan-besar-plaza-office-fRsynDjDXBHnUWcJ8MxJhr#enquiry_source--Search,103.85755,1.30947
518,Shenton House,D1,Shenton Way,5700,1150,4.96,https://www.99.co/singapore/commercial/rent/property/shenton-house-office-JKaC3XWvf4VUJGD4GCEMfP#enquiry_source--Search,103.85055,1.27929
523,Capitasky,D1,Robinson Rd,79068,6586,12.01,https://www.99.co/singapore/commercial/rent/property/capitasky-office-VATCwWAjKwBBHnrT7jymTZ#enquiry_source--Search,103.84864,1.27909
528,Burlington Square,D7,Bencoolen St,3100,549,5.65,https://www.99.co/singapore/commercial/rent/property/burlington-square-office-oW5Pi24jJvEzPKCqXmc49h#enquiry_source--Search,103.84965,1.29823
531,Geylang Conservation Area,D14,Geylang Rd,1350,356,3.79,https://www.99.co/singapore/commercial/rent/property/geylang-conservation-area-office-iTJtCGMWEmPHqJqpR9JfUf#enquiry_source--Search,,
532,Manhattan House,D3,Chin Swee Rd,2064,645,3.2,https://www.99.co/singapore/commercial/rent/property/manhattan-house-office-rhHMPAFS4fPvpJmuV8Zb4#enquiry_source--Search,103.84198,1.28715
538,Unity Centre,D23,Bt Batok Cres,1300,207,6.28,https://www.99.co/singapore/commercial/rent/property/unity-centre-office-Twuq7J28AZjPxCxyn4VQKc#enquiry_source--Search,103.75685,1.3376
545,Woodlands Terrace,D25,Woodlands Terrace,4000,1400,2.86,https://www.99.co/singapore/commercial/rent/property/woodlands-terrace-office-KNLMKpH5BJ4i9Pb3m4hHQ3#enquiry_source--Search,103.80506,1.45089
546,Bauer Building,D22,Tuas Ave 11,2083,1302,1.6,https://www.99.co/singapore/commercial/rent/property/bauer-building-office-PZ4qPscvAVqGxNzTFPMGsr#enquiry_source--Search,103.6596,1.32194
557,Tiong Bahru Orchid,D3,Jln Bt Merah,11700,3000,3.9,https://www.99.co/singapore/commercial/rent/property/tiong-bahru-orchid-office-2vqCFt7MbhxbCTnyQ2MhYg#enquiry_source--Search,103.82732,1.2861
558,Grandlink Square,D14,Guillemard Rd,2500,517,4.84,https://www.99.co/singapore/commercial/rent/property/grandlink-square-office-6jCAd2FkS3jtUwRDw4uFR8#enquiry_source--Search,103.87699,1.30873
563,Harvest @ Woodlands,D27,Woodlands Industrial Pk E5,1200,250,4.8,https://www.99.co/singapore/commercial/rent/property/harvest-woodlands-office-M3FwzmZKk3uqFbAZpURuCY#enquiry_source--Search,103.7915,1.44976
565,22 Martin Road,D9,Martin Rd,40005,4445,9.0,https://www.99.co/singapore/commercial/rent/property/22-martin-road-office-ZH8Bj9enmdStrzrto9SSpQ#enquiry_source--Search,103.83839,1.29172
566,CES Centre,D3,Chin Swee Rd,53690,9257,5.8,https://www.99.co/singapore/commercial/rent/property/ces-centre-office-mAKobRcJmGuz52ixCqxVpK#enquiry_source--Search,103.84198,1.28715
568,UE Square,D9,Clemenceau Ave,17936,2242,8.0,https://www.99.co/singapore/commercial/rent/property/ue-square-office-sbXAgn2RcQ5pLpSHjK837B#enquiry_source--Search,103.84301,1.29317
569,18 Tai Seng,D19,Tai Seng St,33735,5190,6.5,https://www.99.co/singapore/commercial/rent/property/18-tai-seng-office-JqJkCtpS5brPjMPLUfegzc#enquiry_source--Search,103.88872,1.3358
571,Ah Hood Road,D12,Ah Hood Rd,6846,1141,6.0,https://www.99.co/singapore/commercial/rent/property/ah-hood-road-office-LwcekLvrKZxXVYq8JbyNEo#enquiry_source--Search,103.84795,1.32855
573,Keppel Bay Tower,D4,Harbourfront Ave,55161,6727,8.2,https://www.99.co/singapore/commercial/rent/property/keppel-bay-tower-office-9u7Cxa9nTcYe39AxfVinYe#enquiry_source--Search,103.81844,1.26472
574,Robinson Road,D1,Robinson Rd,26809,3154,8.5,https://www.99.co/singapore/commercial/rent/property/robinson-road-office-U8FMpAEGWjH8KaLQDzhRVF#enquiry_source--Search,103.84864,1.27909
577,South Beach Tower,D7,Beach Rd,232700,17900,13.0,https://www.99.co/singapore/commercial/rent/property/south-beach-tower-office-hUn3ztTGwKJQJxUSiUyyXz#enquiry_source--Search,103.85091,1.28311
578,Millenia Tower,D1,Temasek Ave,39745,2799,14.2,https://www.99.co/singapore/commercial/rent/property/millenia-tower-office-kqfxiwtk3YmJycgGDsUzRY#enquiry_source--Search,103.86034,1.29279
581,Odeon Towers,D7,Nth Bridge Rd,70176,8256,8.5,https://www.99.co/singapore/commercial/rent/property/odeon-towers-office-WKatJHog8GMU2uWcBYzDCb#enquiry_source--Search,103.85328,1.29624
586,Mosque Street,D1,Mosque St,15000,1719,8.73,https://www.99.co/singapore/commercial/rent/property/mosque-street-office-KFgNCs5QRsTKeQzNukWi4L#enquiry_source--Search,103.84555,1.28339
587,Telok Ayer Street,D1,Telok Ayer St,3900,800,4.88,https://www.99.co/singapore/commercial/rent/property/telok-ayer-street-office-bxMTVS8MY7fPYbpjBWpzEu#enquiry_source--Search,,
588,UIC Building,D1,Shenton Way,59581,5181,11.5,https://www.99.co/singapore/commercial/rent/property/uic-building-office-SKCFCL6e3CUTRRx999waYJ#enquiry_source--Search,103.85055,1.27929
589,Tahir Building,D1,Robinson Rd,61137,6793,9.0,https://www.99.co/singapore/commercial/rent/property/tahir-building-office-P9igs4CBGDz29SzbcGh4Bj#enquiry_source--Search,103.84864,1.27909
591,ERH Building,D1,Robinson Rd,8009,1381,5.8,https://www.99.co/singapore/commercial/rent/property/erh-building-office-GGvYfoDT5gHynGyiKkwavK#enquiry_source--Search,103.84864,1.27909
592,MYP Centre,D1,Battery Rd,45320,4120,11.0,https://www.99.co/singapore/commercial/rent/property/myp-centre-office-W75jWi4oB6xwqkV9UxqwK8#enquiry_source--Search,103.85254,1.28592
594,Capital Tower,D1,Robinson Rd,71800,7180,10.0,https://www.99.co/singapore/commercial/rent/property/capital-tower-office-g7PUnZo39WUzLuKJZhZyEf#enquiry_source--Search,103.85091,1.28311
598,Alexandra Point,D5,Alexandra Rd,68406,9914,6.9,https://www.99.co/singapore/commercial/rent/property/alexandra-point-office-ynnhrktsEpAdxysgGy6s7R#enquiry_source--Search,103.80223,1.28012
599,Winsland House I,D9,Killiney Rd,20958,1996,10.5,https://www.99.co/singapore/commercial/rent/property/winsland-house-i-office-oVC25oZNQfYnjG5LmcMuJN#enquiry_source--Search,103.84037,1.29971
600,Wisma Atria,D9,Orchard Rd,13450,1281,10.5,https://www.99.co/singapore/commercial/rent/property/wisma-atria-office-TQx2QtPWL7Z8eJbo5xEhDX#enquiry_source--Search,103.84812,1.29765
601,Ngee Ann City,D9,Orchard Rd,15487,1475,10.5,https://www.99.co/singapore/commercial/rent/property/ngee-ann-city-office-mJe4GutYx9CNtnhoGDyfrk#enquiry_source--Search,103.84812,1.29765
605,SGX Centre,D1,Shenton Way,14829,1561,9.5,https://www.99.co/singapore/commercial/rent/property/sgx-centre-office-dU6p9taCwNfh5srrQJ9LyM#enquiry_source--Search,103.85055,1.27929
