,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
745,Central-Link,D3,Jln Kilang Barat,4500,2026,2.22,https://www.99.co/singapore/commercial/rent/property/centrallink-office-32VW6or787gGgrhRwUQLPx#enquiry_source--Search,103.81018,1.28521
746,Boat Quay Conservation Area,D1,Boat Quay,5000,1000,5.0,https://www.99.co/singapore/commercial/rent/property/boat-quay-conservation-area-office-HP6pj2jDWVLzskWgHJzwnT#enquiry_source--Search,103.84904,1.28895
749,Seng Kee Building,D9,Martin Rd,28750,5134,5.6,https://www.99.co/singapore/commercial/rent/property/seng-kee-building-office-jPwnVdJkdguXSuZbRiCAog#enquiry_source--Search,103.83895,1.29121
752,Prinsep Place,D7,Prinsep St,46176,7104,6.5,https://www.99.co/singapore/commercial/rent/property/prinsep-place-office-nBYgG95xtvcpQraTiSfEkd#enquiry_source--Search,103.84948,1.29897
753,Desker Road Conservation Area,D8,Rowell Rd,1800,130,13.85,https://www.99.co/singapore/commercial/rent/property/desker-road-conservation-area-office-hfEdQwKEj3V9duoNVEpH4H#enquiry_source--Search,,
755,Sims Avenue Centre,D14,Sims Ave,2800,818,3.42,https://www.99.co/singapore/commercial/rent/property/sims-avenue-centre-office-mW6pvB46mzwrogromBkEmA#enquiry_source--Search,103.87169,1.31044
756,Far East Square,D1,Amoy St,17280,2400,7.2,https://www.99.co/singapore/commercial/rent/property/far-east-square-office-5ugeWgURKRjtnrq9ASnJMp#enquiry_source--Search,103.84858,1.28322
757,Sultan Plaza,D7,Jln Sultan,4500,1302,3.46,https://www.99.co/singapore/commercial/rent/property/sultan-plaza-office-FPMdtv7ybjwZ6ttFd85gAF#enquiry_source--Search,103.86154,1.30243
763,Boat Quay Conservation Area,D1,Lor Telok,22000,3221,6.83,https://www.99.co/singapore/commercial/rent/property/boat-quay-conservation-area-office-NVh8uaja2CHRpdZSdGuosk#enquiry_source--Search,,
764,Anson Centre,D2,Anson Rd,12259,2990,4.1,https://www.99.co/singapore/commercial/rent/property/anson-centre-office-iMtvmVpRpRf92XAP6e8DEf#enquiry_source--Search,103.84653,1.27534
769,Orchard Building,D9,Grange Rd,12700,1588,8.0,https://www.99.co/singapore/commercial/rent/property/orchard-building-office-2evaUjvyNYMht2XCQWS9u3#enquiry_source--Search,103.83742,1.30147
773,St. Andrew's Centre,D2,Tg Pagar Rd,5071,818,6.2,https://www.99.co/singapore/commercial/rent/property/st-andrews-centre-office-dpNxyBMCwXY7gFCUfo4st8#enquiry_source--Search,103.84427,1.27996
