,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link
371,Vision Exchange,D22,Venture Dr,2850,517,5.51,https://www.99.co/singapore/commercial/rent/property/vision-exchange-office-E2siLJKX9HBbigt5QSngpa#enquiry_source--Search
372,Woods Square,D25,Woodlands Square,24262,3466,7.0,https://www.99.co/singapore/commercial/rent/property/woods-square-office-hM8aqKBeiLdLi2aNhHSz9h#enquiry_source--Search
373,Bugis Junction Towers,D7,Victoria St,29858,3143,9.5,https://www.99.co/singapore/commercial/rent/property/bugis-junction-towers-office-MTzotmjnM8ehKbyhtUTynY#enquiry_source--Search
374,Harper Point,D13,Harper Rd,5325,1065,5.0,https://www.99.co/singapore/commercial/rent/property/harper-point-office-bamwigwG3eEQ77fdgCtJVo#enquiry_source--Search
375,Harper Point,D13,Harper Rd,34000,6232,5.46,https://www.99.co/singapore/commercial/rent/property/harper-point-office-YKy8KRXFMDrupjrTyYKXjF#enquiry_source--Search
376,Harper Point,D13,Harper Rd,20637,3175,6.5,https://www.99.co/singapore/commercial/rent/property/harper-point-office-fEDfeYR7W764D6qSbkiFk8#enquiry_source--Search
377,The Octagon,D1,Cecil St,32000,6049,5.29,https://www.99.co/singapore/commercial/rent/property/the-octagon-office-SXBWc567eN8gxa9mgXVwoh#enquiry_source--Search
378,United Square,D11,Thomson Rd,9044,1292,7.0,https://www.99.co/singapore/commercial/rent/property/united-square-office-bKLhU4ugWKAoi69mX7ofFA#enquiry_source--Search
379,Blair Plain Conservation Area,D3,Kg Bahru Rd,13000,3605,3.61,https://www.99.co/singapore/commercial/rent/property/blair-plain-conservation-area-office-ccrAmsWYJcK94zRssvcz3x#enquiry_source--Search
380,Old Birdcage Walk,D28,Old Birdcage Walk,25000,6970,3.59,https://www.99.co/singapore/commercial/rent/property/old-birdcage-walk-office-pUMYJEuUE26B6Ss53ftt3W#enquiry_source--Search
381,Old Birdcage Walk,D28,Old Birdcage Walk,4500,1030,4.37,https://www.99.co/singapore/commercial/rent/property/old-birdcage-walk-office-kFnnezxTBfEtMWB8rxhe8M#enquiry_source--Search
382,Parkway Parade,D15,Marine Parade Rd,6220,956,6.51,https://www.99.co/singapore/commercial/rent/property/parkway-parade-office-eM7MExnM6M3eFFVB3gnB68#enquiry_source--Search
383,Old Birdcage Walk,D28,Old Birdcage Walk,9000,2000,4.5,https://www.99.co/singapore/commercial/rent/property/old-birdcage-walk-office-WSFrpMC2wsM2jtGMUJt6Eu#enquiry_source--Search
384,Kim Hoe Centre,D8,Kelantan Lane,15600,3250,4.8,https://www.99.co/singapore/commercial/rent/property/kim-hoe-centre-office-QowTHikGDdrs4VCUkSMgLb#enquiry_source--Search
385,International Plaza,D2,Anson Rd,860,80,10.75,https://www.99.co/singapore/commercial/rent/property/international-plaza-office-PfVXRKPhd93eYHp5iivgTD#enquiry_source--Search
386,Old Birdcage Walk,D28,Old Birdcage Walk,2800,720,3.89,https://www.99.co/singapore/commercial/rent/property/old-birdcage-walk-office-BsmNsBgcq2bJnqjgd2fMJB#enquiry_source--Search
387,Baker Street,D28,Baker St,13500,2950,4.58,https://www.99.co/singapore/commercial/rent/property/baker-street-office-8EaUp7ZtzUWbV2hQrX66Fq#enquiry_source--Search
388,Baker Street,D28,Baker St,25000,5900,4.24,https://www.99.co/singapore/commercial/rent/property/baker-street-office-7miBkUiAVFphLpDXzkAuWc#enquiry_source--Search
389,Genting Building,D13,Genting Lane,3700,1360,2.72,https://www.99.co/singapore/commercial/rent/property/genting-building-office-WdQpLyPLFajzd78rrX3xZV#enquiry_source--Search
390,Lock+Store Chai Chee,D16,Chai Chee Lane,2200,630,3.49,https://www.99.co/singapore/commercial/rent/property/lock+store-chai-chee-office-VRfkUGacMbdxdbzKkLf3G4#enquiry_source--Search
391,Woods Square,D25,Woodlands Square,24262,3466,7.0,https://www.99.co/singapore/commercial/rent/property/woods-square-office-QLm7uU3wxDf2ADz9jmqzY3#enquiry_source--Search
392,Orchard Rendezvous Hotel,D10,Tanglin Rd,9175,1119,8.2,https://www.99.co/singapore/commercial/rent/property/orchard-rendezvous-hotel-office-WuPMTW8qYn4EDNsEyqCusR#enquiry_source--Search
